Time;[0.0];[0.1];[1:0];[1:1];[1:2];[1:3];[1:4];[1:5];[1:6];[1:7];[1:8];[1:9];[1:10];[1:11];[1:15];[2:0];[2:1];[2:2];[2:3];[2:4];[2:5];[2:6];[2:7];[2:8];[2:13];[2:14];[2:15]
time;0.0;0.1;F3.6;F3.5;F3.4;F3.3;F3.2;F3.1;Mo;Mm;Mu;P1;P2;P3;Drehzahl;F Antrieb;F Abtrieb;FS Antrieb;FS Abtrieb;Mo;Mu;P1;P2;P3;Geschwindigkeit;Strom;Walzspalt
sec;;;kN;kN;kN;kN;kN;kN;kNm;kNm;kNm;°C;°C;°C;u/min;kN;kN;kN;kN;kNm;kNm;°C;°C;°C;m/s;A;mm

LicenseId;V77468_1
LicenseContainer;130-1791363898 (DAQ-001391)
LicenseCustomer;TU Bergakademie Freiberg

0.49;0;1;-1.28442;0.573303;1.54309;0.0787354;0.085083;-0.0671234;-0.246986;-0.0271454;-0.0249481;669.99;599.954;669.99;100.029;0.213623;-1.86157;240.795;-282.284;-0.0137138;0.130642;670.01;669.99;670.01;-0.00167847;0.0556335;46.6514
0.5;0;1;-1.15204;0.679993;1.37262;0.0437622;0.085083;-0.0563812;-0.21068;-0.0814362;-0.0405998;670.01;599.991;669.99;100.09;0.213623;-1.80054;241.253;-281.842;-0.0176353;0.130642;670.01;669.99;670.01;-0.00167847;0.15451;46.6514
0.51;0;1;-1.23151;0.706665;0.980408;0.148804;0.109283;-0.0671234;-0.126598;-0.097229;0.00440216;669.99;599.973;669.99;100.151;0.274658;-1.86157;240.81;-282.284;-0.0150223;0.132027;670.01;669.971;669.99;-0.0017395;-0.0308838;46.6514
0.52;0;1;-1.15204;0.893311;0.809937;0.0787354;0.109283;-0.0402832;-0.00812149;-0.0537987;-0.0112534;670.01;599.991;669.99;100.163;0.213623;-1.92261;241.237;-281.842;-0.0137138;0.133408;670.01;670.01;670.01;-0.00161743;0.0927124;46.6606
0.53;0;1;-1.3374;0.946655;0.468933;0.148804;0.085083;-0.0510101;-0.0597172;0.0172729;0.0445137;670.01;599.991;670.01;100.151;0.335693;-1.80054;240.81;-282.269;-0.0150223;0.130642;670.029;669.99;670.01;-0.00167847;-0.0308838;46.6697
0.54;0;1;-1.28442;1.05328;0.093811;0.0962524;0.157654;-0.0724945;-0.118;0.0745239;-0.00733948;669.99;599.991;669.99;100.383;0.152588;-1.80054;241.207;-281.811;-0.0137138;0.132027;670.029;669.99;670.029;-0.0017395;0.0803528;46.6422
0.55;0;1;-1.3374;1.1333;-0.0255737;0.183777;0.145569;-0.0886078;-0.119911;-0.0725517;0.079731;670.01;599.973;670.01;100.212;0.274658;-1.80054;240.81;-282.269;-0.0150223;0.130642;670.01;669.99;670.01;-0.00167847;-0.191559;46.6606
0.56;0;1;-1.36389;1.02661;-0.179016;0.288818;0.157654;-0.0402832;-0.0750046;-0.0745239;-0.0151634;669.99;599.991;669.99;100.157;0.152588;-1.80054;241.253;-281.842;-0.0137138;0.130642;670.029;669.99;669.99;-0.0015564;-0.0679626;46.6514
0.57;0;1;-1.49634;0.973328;-0.264282;0.288818;0.169769;-0.0563812;-0.121822;-0.0695915;-0.0132065;669.99;599.973;669.971;100.224;0.274658;-1.80054;240.81;-282.3;-0.0137138;0.132027;670.01;670.01;670.01;-0.0017395;0.129791;46.6606
0.58;0;1;-1.52283;1;-0.161987;0.323853;0.169769;-0.0671234;-0.101757;-0.0518227;-0.0141869;669.99;600.009;670.01;100.157;0.274658;-1.80054;241.253;-281.827;-0.0150223;0.132027;670.029;669.99;670.01;-0.00161743;-0.0803223;46.6514
0.59;0;1;-1.6817;0.946655;-0.144897;0.44635;0.169769;-0.0886078;-0.0606728;-0.0587311;-0.0141869;670.048;600.027;669.99;100.218;0.274658;-1.80054;240.81;-282.284;-0.0124092;0.132027;670.01;669.99;669.99;-0.00161743;-0.203918;46.6514
0.6;0;1;-1.65521;0.973328;-0.127869;0.463867;0.169769;-0.0563812;-0.0616283;-0.0231972;-0.0278816;670.01;599.991;669.99;100.273;0.213623;-1.86157;241.268;-281.811;-0.0163269;0.133408;670.01;670.01;669.99;-0.00161743;-0.0308838;46.6514
0.61;0;1;-1.84058;1;-0.0596313;0.551392;0.157654;-0.0724945;-0.0425186;0.0192451;-0.0366859;670.029;599.991;669.99;100.273;0.274658;-1.92261;240.826;-282.284;-0.01894;0.130642;670.029;669.99;669.99;-0.00167847;-0.055603;46.6697
0.62;0;1;-1.81415;1;-0.0596313;0.568909;0.169769;-0.09935;-0.0472965;-0.018261;-0.0386429;670.029;600.046;670.01;100.279;0.274658;-1.80054;241.237;-281.827;-0.0150223;0.132027;670.01;670.029;669.99;-0.00167847;0.0556335;46.6606
0.63;0;1;-1.84058;1;0.00854492;0.62146;0.145569;-0.0939789;-0.113222;-0.0745239;-0.0376663;670.029;600.009;669.99;100.273;0.274658;-1.80054;240.81;-282.3;-0.0150223;0.133408;670.029;669.99;670.01;-0.00167847;-0.228638;46.6606
0.64;0;1;-1.84058;1.02661;0.179077;0.62146;0.157654;-0.0724945;-0.0386963;-0.0607071;0.0963631;670.048;600.027;669.99;100.267;0.335693;-1.80054;241.253;-281.842;-0.0150223;0.130642;670.01;669.99;670.01;-0.0017395;0.105072;46.6514
0.65;0;1;-1.78766;1.02661;0.31543;0.586426;0.121368;-0.0832367;0.0434723;0.0439224;0.000488281;670.029;600.009;670.01;100.267;0.274658;-1.86157;240.81;-282.269;-0.0124092;0.134789;670.029;670.01;669.99;-0.0017395;-0.0432434;46.6606
0.66;0;1;-1.57574;1.05328;0.502991;0.568909;0.145569;-0.0886078;-0.0167217;-0.0113525;0.0298386;670.029;600.046;670.01;100.267;0.213623;-1.7395;241.268;-281.827;-0.0150223;0.132027;670.01;669.99;669.99;-0.00161743;-0.16684;46.6697
0.67;0;1;-1.41687;1.1333;0.673523;0.551392;0.109283;-0.0832367;-0.154308;0.000492096;-0.0415802;670.01;600.009;669.99;100.285;0.213623;-1.86157;240.841;-282.284;-0.0150223;0.132027;670.029;669.99;669.99;-0.00161743;-0.055603;46.6606
0.68;0;1;-1.31091;1.21332;0.758789;0.62146;0.097168;-0.0671234;-0.160995;-0.0567589;-0.0278816;670.029;600.027;669.99;100.267;0.274658;-1.80054;241.253;-281.842;-0.0150223;0.134789;670.029;669.99;670.01;-0.00161743;0.0432739;46.6606
0.69;0;1;-1.17853;1.18665;0.844055;0.551392;0.085083;-0.0724945;-0.192526;-0.0340538;-0.0376663;670.01;599.991;669.99;100.328;0.274658;-1.86157;240.826;-282.3;-0.0137138;0.133408;670.029;669.99;669.971;-0.00161743;-0.0432434;46.6514
0.7;0;1;-1.01959;1.15997;0.844055;0.586426;0.085083;-0.0778656;-0.0912476;-0.0449142;-0.0396233;670.029;600.009;670.01;100.273;0.213623;-1.80054;241.268;-281.827;-0.0150223;0.132027;670.01;669.99;670.01;-0.00161743;0.216309;46.6514
0.71;0;1;-1.12555;1.15997;0.844055;0.691467;0.0487976;-0.0617523;-0.0998459;-0.040966;-0.0220146;669.99;600.009;669.99;100.273;0.274658;-1.80054;240.81;-282.269;-0.0137138;0.132027;670.029;670.01;669.99;-0.00167847;0.216309;46.6606
0.72;0;1;-1.01959;1.1333;0.826965;0.726501;0.085083;-0.0456543;-0.23361;-0.0133286;0.0308151;670.01;600.009;669.99;100.212;0.335693;-1.80054;241.253;-281.842;-0.0163269;0.132027;670.029;669.99;670.01;-0.0015564;-0.105042;46.6697
0.73;0;1;-1.01959;1.05328;0.792908;0.726501;0.121368;-0.0832367;-0.292849;-0.00641632;0.0699501;670.01;599.973;670.01;100.273;0.213623;-1.7395;240.795;-282.254;-0.0111046;0.132027;669.971;669.99;669.99;-0.00161743;-0.16684;46.6697
0.74;0;1;-1.01959;1;0.775818;0.778992;0.121368;-0.0617523;-0.232655;-0.0320816;0.0542946;669.971;600.009;670.01;100.261;0.152588;-1.67847;241.237;-281.827;-0.0163269;0.132027;669.971;670.01;670.01;-0.00161743;-0.0308838;46.6514
0.75;0;1;-1.12555;0.893311;0.707642;0.884033;0.121368;-0.0724945;-0.171505;-0.0616951;-0.0308189;669.99;599.991;670.01;100.279;0.274658;-1.80054;240.826;-282.284;-0.0137138;0.130642;670.029;669.99;670.01;-0.00161743;0.15451;46.6606
0.76;0;1;-1.20502;0.893311;0.656494;0.936523;0.157654;-0.0778656;-0.183928;-0.03899;-0.0366859;670.01;599.991;670.01;100.322;0.213623;-1.80054;241.237;-281.857;-0.0163269;0.133408;670.029;669.971;669.99;-0.0017395;-0.0308838;46.6514
0.77;0;1;-1.41687;0.813293;0.537109;1.05908;0.21814;-0.0832367;-0.190615;-0.0143127;0.0317955;669.99;599.991;669.99;100.322;0.213623;-1.86157;240.81;-282.284;-0.0137138;0.132027;670.01;669.99;670.01;-0.00161743;-0.0803223;46.6606
0.78;0;1;-1.36389;0.733276;0.588257;0.971558;0.157654;-0.0671234;-0.192526;0.000492096;0.000488281;669.99;599.991;670.01;100.267;0.213623;-1.86157;241.237;-281.827;-0.0163269;0.130642;670.01;669.99;670.01;-0.00167847;0.203949;46.6514
0.79;0;1;-1.57574;0.626648;0.468933;0.954041;0.109283;-0.0724945;-0.186792;-0.0291214;-0.0269051;669.99;599.954;669.99;100.334;0.152588;-1.80054;240.826;-282.284;-0.0111046;0.130642;670.01;669.99;669.99;-0.00161743;-0.117401;46.6697
0.8;0;1;-1.57574;0.626648;0.451843;0.884033;0.109283;-0.0563812;-0.151442;-0.0350418;-0.0337524;669.99;599.991;670.01;100.285;0.152588;-1.86157;241.253;-281.827;-0.0176353;0.132027;670.01;670.01;669.99;-0.00167847;0.129791;46.6514
0.81;0;1;-1.73468;0.546631;0.468933;0.884033;0.145569;-0.0724945;-0.196348;-0.0350418;-0.000488281;669.99;599.973;670.01;100.273;0.152588;-1.92261;240.795;-282.284;-0.0137138;0.132027;670.01;669.99;670.01;-0.00167847;-0.055603;46.6697
